Date,Male,BY2023 Father PC,Female,BY2023 Mother PC,BY2023 FSG # (PC),MFG,Comment,,,Father PC,father DI,mother PC,mother DI,offspring DI,MFG,
1/30/2024,OA09,184,YA33,3,1,1,,,,,,,,,,
1/30/2024,YI17,42,YF22,18,2,1,,,,,,,,,,
1/30/2024,YL29,67,YJ42,53,4,1,,,,,,,,,,
1/30/2024,YA54,2,YK03,59,5,1,,,,,,,,,,
1/30/2024,YC37,14,YP08,93,6,1,,,,,,,,,,
1/30/2024,YA19,6,YR20,98,7,1,,,,,,,,,,
1/30/2024,YY01,151,YS12,110,8,1,,,,,,,,,,
1/30/2024,OB15,179,YT06,118,9,1,,,,,,,,,,
1/30/2024,YG57,27,YC10,15,11,2,,,,,,,,,,
1/30/2024,YP23,92,YF42,17,12,2,,,,,,312,,,,
1/30/2024,YH25,38,YF30,22,13,2,,,,,,,,,,
1/30/2024,YK42,58,YP13,96,14,2,,,,,,,,,,
2/2/2024,OC02,188,YA11,1,15,2,,,,,,,,,,
2/2/2024,YZ04,169,YC04,13,16,2,,,,,,,,,,
2/2/2024,YS25,113,YF36,18,17,2,,,,,,,,,,
2/2/2024,YR12,103,YI40,42,18,2,,,,,,,,,,
2/2/2024,YS17,109,YI04,43,19,3,,,,,,,,,,
2/2/2024,YH55,33,YL26,68,20,3,,,,,,,,,,
2/2/2024,YI30,45,YR18,101,21,3,,,,,,,,,,
2/2/2024,YI56,44,YV15,126,22,3,,,,,,,,,,
2/6/2024,YI51,48,YA13,6,23,3,,,,,,,,,,
2/6/2024,YK43,62,YC43,13,24,3,,,,,,,,,,
2/6/2024,YL21,71,YF70,22,26,3,,,,,,,,,,
2/6/2024,YV27,125,YF71,23,27,3,,,,,,,,,,
2/6/2024,YA16,8,YG66,26,28,4,,,,,,,,,,
2/6/2024,YC29,12,YG03,30,29,4,,,,,,,,,,
2/6/2024,YG53,28,YG00,32,30,4,,,,,,,,,,
2/6/2024,YA48,7,YI00,44,31,4,,,,,,,,,,
2/6/2024,YZ16,160,YJ44,54,32,4,,,,,,,,,,
2/6/2024,YW23,136,YK01,61,33,4,,,,,,,,,,
2/6/2024,OB22,180,YR29,102,34,4,,,,,,,,,,
2/6/2024,YY12,156,YS37,113,35,4,,,,,,,,,,
2/6/2024,YK33,60,YV22,127,36,5,,,,,,,,,,
2/6/2024,YJ26,51,YW31,133,37,5,,,,,,,,,,
2/6/2024,YL10,69,OF01,205,38,5,,,,,,,,,,
2/6/2024,YH20,35,2RN41,2_248,39,5,2 yr old fish,,,,,,,,,
2/9/2024,YL20,70,YC01,11,40,5,,,,,,,,,,
2/9/2024,YJ15,50,YG04,25,41,5,,,,,,,,,,
2/9/2024,YP34,91,YG05,31,42,5,,,,,,,,,,
2/9/2024,YT27,117,YH02,37,43,5,,,,,,,,,,
2/9/2024,YV02,135,YJ41,57,45,6,,,,,,,,,,
2/9/2024,YC25,10,YR16,99,46,6,,,,,,,,,,
2/9/2024,YF60,21,YS07,107,47,6,,,,,,,,,,
2/9/2024,YF58,19,YV20,128,48,6,,,,,,,,,,
2/9/2024,YN03,74,YW34,131,49,6,,,,,,,,,,
2/9/2024,YY21,157,YW04,134,50,6,,,,,,,,,,
2/9/2024,YG19,29,OA04,170,51,6,,,,,,,,,,
2/13/2024,YV08,129,YA06,4,52,6,,,,,,,,,,
2/13/2024,YS24,111,YA31,5,53,7,,,,,,,,,,
2/13/2024,YR35,105,YC41,9,54,7,,,,,,,,,,
2/13/2024,YY22,158,YH00,34,55,7,,,,,,,,,,
2/13/2024,YZ19,161,YH68,41,56,7,,,,,,,,,,
2/13/2024,YN16,80,YI65,46,57,7,,,,,,,,,,
2/13/2024,YO28,84,YO08,83,58,7,,,,,,,,,,
2/13/2024,YL23,72,YP11,95,59,7,,,,,,,,,,
2/13/2024,OD01,198,YR17,100,60,7,,,,,,,,,,
2/13/2024,OD06,200,YS09,108,61,8,,,,,,,,,,
2/13/2024,YI81,47,YT34,115,62,8,,,,,,,,,,
2/13/2024,YS18,112,YT18,122,63,8,,,,,,,,,,
2/16/2024,YX15,142,YF35,20,64,8,,,,,,,,,,
2/16/2024,YO24,88,YF64,24,65,8,,,,,,,,,,
2/16/2024,YH23,39,YJ36,56,67,8,,,,,,,,,,
2/16/2024,OC15,187,YV16,124,68,8,,,,,,,,,,
2/16/2024,OB28,185,YJ00,55,69,8,,,,,,,,,,
2/16/2024,YK39,65,YS52,107,70,9,,,,,,,,,,
2/16/2024,YK25,64,YS08,112,71,9,,,,,,,,,,
2/16/2024,YS43,113,2RN13,2_248,72,9,2 yr old fish,,,,,,,,,
2/20/2024,YP39,97,YO14,86,74,9,,,,,,,,,,
2/20/2024,YJ69,52,YV18,123,75,9,,,,,,,,,,
2/20/2024,YL35,66,OB09,181,76,9,,,,,,,,,,
2/20/2024,YC58,16,YA36,3,77,9,,,,,,,,,,
2/20/2024,YT35,119,YA00,4,78,9,,,,,,,,,,
2/20/2024,YX16,146,YA32,5,79,10,,,,,,,,,,
